text,spam
"Subject: mmedz services  hello , welcome to the medzo kolinsky nline  - online ph filiform armaceutical shop .  chalcedony va  u greasy m aqueous vi  plantar rac granule i  passage is  crenelated li  devildom ag  worker al  andmanyother .  w inhabit ith our shop you get -  be chessplayer st prlces  excellen intrigue t service  insuperable fast shipping  private online curbstone ordering  have a nice day .",1
"Subject: non - firm power curve building  hi vince ,  amitava and i have received a request to build a non - firm power curve for each region from david hoog ' s double trigger folks . the objective , as they explain it , is to allow the desk to buy non - firm from the market , buy david ' s outage product , and sell firm to the market . accountants would like a curve to mark the non - firm position .  my initial thought is that the desk should provide this non - firm curve , but it seems that this market is very illiquid and they are reluctant so they have put the ball in david hoog ' s court to build the curve if david wants to sell his product internally to the desk .  assuming we build the curve , the next issue is how to define "" non - firm "" ? the only way i can think of is to tie the non - firmness to a specific generation unit or group of units . this will allow the purchase of david ' s outage product to cover the non - firmness risk . tying the definition of non - firmness to a whole region seems implausible - - - what does it mean to give a marketer the option to not deliver power if there is any problem anywhere in the region ? consequently , the non - firm curve takes on a unit - level interpretation , and not a region - level interpretation . consequently , i do not see how we can talk about the "" non - firm curve for the region "" ? we will need to build a non - firm curve for each generation unit or group of units .  maybe i could get your thoughts later today .  thanks ,  vasant",0
Subject: more site sales  do you take credit cards ?  if you do you will make more money . easy set up . . no credit checks - 100 % approval . . . .  make more money now !  try now  remove info is found on web site ,1
"Subject: london , new york , houston , financial mathematics june / july 2001  hello speakers !  my name is joanna vidal and i am the coordinator for the financial mathematics training course being in held on the following dates :  london on june 28 & 29  new york on july 9 & 10  houston on july 16 & 17  i am in the process of preparing the speaker packs which will include an updated contact information sheet with all your details . you will receive this pack shortly after you confirm your addresses . i will list them below and i ask that you please look it over and make any necessary corrections .  my contact details , for your information are :  joanna vidal  events coordinator  risk waters group  t : ( 212 ) 925 1864 ext . 197  f : ( 212 ) 925 7585 jvidal @ riskwaters . com www . riskwaters . com  thank you and i look forward to working with you .  duane seppi  carnegie mellon university  graduate school of industrial administrations  pittsburgh , pa 15213 - 3890  t : 001 412 - 268 - 2298  f : 001 412 - 269 - 8896  helyette geman  universite de paris dauphine  finance department au de ka grand ecole  corgy pontois , paris  france 95021  t : 00 33 60 - 807 - 4200  vincent kaminski  enron credit  1400 smith street  room ebl 962  houston , tx 77002 - 7361  t : 001 713 - 853 - 3848  f : 001 713 - 646 - 2503  peter nance  teknecon , inc .  1515 s . capital of texas highway  suite 101  austin , tx 78746  t : 001 512 - 732 - 7084  f : 001 512 - 732 - 7099  chris harris  innogy holdings place  windmill hill business park  whitehill way  swindon , wiltshire  uk , 5 n 5 6 pb  t : 44 793 387 - 7777  f : 44 793 389 - 7811  spyros maragos  dynergy , inc .  1000 louisiana street  suite 5800  houston , tx 77002  t : 011 713 - 507 - 6589  f : 001 713 - 767 - 5958  ehud ronn  university of texas at austin  department of finance  mccombs school of business  austin , tx 78712 - 1179  t : 001 512 - 471 - 5853  f : 001 512 - 471 - 5073",0
"Subject: re : recruiting at cmu computational finance program  rick ,  thanks for your message . i am familiar with the computational finance program  and value its high quality .  please , call me next week . the best time is between 7 : 00 and 8 : 30 a . m .  cst .  vince  "" rick bryant "" on 07 / 26 / 2000 01 : 27 : 23 pm  to : vince j kaminski / hou / ect @ ect  cc : "" kevin kindall "" , "" ken keeley "" ,  "" sanjay srivastava ""  subject : recruiting at cmu computational finance program  vince ,  greetings ! i am the director of the ms in computational finance program at  carnegie mellon . i am following up on a conversation i had with kevin  kindall , a graduate of our program , who gave me your e - mail address and  suggested i contact you as the individual making the recruiting decisions  for the research group at enron .  in speaking with the director of the career opportunity center at the  business school , i am told that although an alison bailey from enron  ( mary . alison . bailey @ enron . com ) has arranged for a sizable block of rooms in  which to conduct interviews on campus on december 11 th , there is as yet no  indication of whether the comp finance students will have opportunity to  compete for these spaces .  we are regarded by many in the industry as the top quantitative finance  program in the country . focused on derivative pricing , econometrics , var  and portfolio management , our graduates should be an excellent fit for your  business . i would be happy to talk with you further about our  rogram ( http : / / student . gsia . cmu . edu / mscf / ) as well as our students ' interest  in enron ( the name comes up a lot ! ) . also , if you are interested , we run a  "" speaker series "" on most friday ' s during the fall and spring that would  give you ( or another in your group ) the opportunity to address our students  in an area of interest . such a meeting would , i think , help you better  understand the careers our students are preparing to pursue as well as give  our students first hand knowledge of enron and its future .  when might be a good time to contact you by telephone ?  thank you for your time .  rick  richard l . bryant  director , computational finance program  carnegie mellon university  graduate school of industrial administration  pittsburgh , pa 15213  phone / fax ( 412 ) 268 - 4592 / ( 412 ) 268 - 6837  http : / / fastweb . gsia . cmu . edu / mscf",0
"Subject: perfect logo charset = koi 8 - r "" >  thinking of breathing new life into your business ?  start from revamping its front - end - logo and visuai identity .  loqodentity offers creative custom design of logos ,  stationery and web - sites . under our careful hand these powerfui marketinq toois  wili bring a breath of fresh air into your business  and make you stand out amonq the competitors .  you are just a ciick  away from your future success . click here to see the sampies of our artwork ,  check our prices and hot offers",1
"Subject: visit by enron , 19 october 2000  a team of key executives from enron will be on campus on the 19 th of october  for the purposes of meeting with key staff and faculty to learn more about  the school and how the firm can gain a greater presence here . included in  this group will be :  vince kaminski , director of research  christie patrick , vp , university relations  mike rosen , director , university affairs group  i have developed a proposed agenda for the visit . please review and confirm  that you are available to meet with one or more of the enron team at the  times specified . if so , please provide me a prefered meeting location . if  not , please alternate times and locations .  8 : 00 - 9 : 00 breakfast with donna piazze and keith weigelt to discuss "" tiger  team fap project "" the ivy grill , inn at penn  9 : 00 - 10 : 30 meeting with raffi amit , ian macmillan , emily cieri and anne  stamer to discuss the sol c . snider entreprenuer center and its related  programs , the business plan competition and webi . . . 4 th floor conference room ,  vance hall ? ? ?  10 : 30 - 12 : 00 christie and mike hold discussions with cara tyler , bob bonner  and pat rose regarding recruiting processes and procedures . . . cms conference  room  10 : 30 - ? ? ? broadband executive meets with gerry mccartney and other  university officials to discuss campus needs , future usage projections , etc .  10 : 30 - 11 : 30 vince meets with sid winter reference jones center and related  research  11 : 30 - 12 : 00 vince meets with howard kunruether to discuss risk management  12 : 00 - 1 : 15 pm group lunch with jerry wind at faculty club to discuss the  e - fellows program  2 : 00 - 3 : 00 pm christie and mike meet with mike baltes to discuss co - branding  issues with wharton and upenn  5 : 00 pm all will attend the et conference dinner event  please confirm your willingness and availability to support this agenda .  thanks for your help .  tom",0
"Subject: hello from enron  dear dr . mcmullen ,  a few weeks ago i received a call from your university  regarding employment opportunities at enron .  i called back and summarized the needs of my group ( an ideal profile of a  candidate ) :  1 . mathematical finance  2 . computer programming ( c , c + + )  3 . understanding of the energy markets  i shall appreciate any information about potential candidates .  i have also given some other suggestions regarding potential  opportunities for graduates with different profiles .  please , feel free to call me . my number is 713 853 3848 .  vince kaminski",0
Subject: claim your free home depot gift card - a $ 1000 value .  claim your home depot gift card - a $ 1000 value . were sure you can find a use for this gift card in your area . ( ) .  by exclusiverewards  qprkelmv,1
"Subject: use this handy interest calculator to get current interest information . cmaln  use this handy rate calculator to get current interest availability data , without giving out any private or personal information .  this was sent to you by an mediagroup for smartmortgageusa . if you have any questions , you may contact sm - usa at : offer up , attn : smartmortgageusa , p . o . box 78361 , san francisco , ca 94107 - 8361 . if you wish to exclude yourself from future sm - usa items please use this to go to the website and then use the choice at the bottom of the page .  cydukzeiqjcs",1
"Subject: re : chase  vince : thanks very much . i will call ravi  chris  vince j kaminski @ ect  04 / 12 / 2000 10 : 36 am  to : chris holmes @ enron  cc :  subject : re : chase  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 04 / 12 / 2000  10 : 37 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  vince j kaminski  04 / 12 / 2000 10 : 11 am  to : chris holmes / hou / ect @ ees  cc : stinson gibner / hou / ect @ ect , vince j kaminski / hou / ect @ ect  subject : re : chase  chris ,  we don ' t have yet any report on broadband that might help you , developed  internally  by my group . we are working on a tutorial and we shall send you a copy when  it ' s ready .  the person who can give you an introduction to this market is ravi  thuraisingham .  vince  chris holmes @ ees  04 / 05 / 2000 09 : 55 pm  sent by : chris holmes @ ees  to : vince j kaminski / hou / ect @ ect  cc :  subject : chase  vince :  i am working now in ees as the chase national account manager and am  developing new products to sell chase . one of the products i am working on  integrates the provision of broad band with a package of computer  hardware and software for a company ' s employees .  i can explain more if you are interested .  i understand you put together a report on broadband which has helped educate  people as to the technology and economics . can i get a copy ? .  also do you have any analyses on chase that might help me detect other  opportunities ?  is there anyone on your staff with whom i should talk ?  thanks  chris",0
"Subject: re :  craig -  thanks for the feedback .  i ' ve received similar reports from other research customers on various  non - recurring and on - going projects elena has been able to help out on .  the most recent member of a long line of rice mba candidates who have "" made a  difference "" in our research efforts , elena will be staying with us throughout  this next ( her final ) year .  she ' ll be working the morning shift .  please let us know if she , or any other member of our group can assist you in  any way .  - mike",0
"Subject: sevil yamin  anne ,  vasant sent this information to norma . i shall fwd his message to you .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 04 / 10 / 2001  03 : 02 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  stinson gibner  04 / 10 / 2001 02 : 57 pm  to : vince j kaminski / hou / ect @ ect  cc :  subject : sevil yamin  vince ,  do you want me to do this , or vasant ?  - - stinson  - - - - - - - - - - - - - - - - - - - - - - forwarded by stinson gibner / hou / ect on 04 / 10 / 2001  02 : 57 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  from : anne labbe / enron @ enronxgate on 04 / 06 / 2001 09 : 57 am  to : stinson gibner / hou / ect @ ect  cc :  subject : sevil yamin  stinson ,  i am the new hr generalist for the research group because norma villarreal is  moving to business analysis and reporting . earlier this week , norma and i  met with vince , and he said that he was going to talk to you about writing up  a list of sevil ' s projects / accomplishments for last year and this year , so  that we can give her a project bonus since she did not receive a bonus during  the normal prc time . at your earliest convenience , will you please email me  this list so that i can get started putting together all of the paperwork so  that she can receive a check on april 16 th .  if you have any questions , please feel free to contact me at 5 - 7809 . i look  forward to meeting you , and the rest of the group next week at vince ' s staff  meeting .  thanks ,  anne labbe '",0
"Subject: no further access to your account will be allowed  dear lasalle bank customer ,  this email is to inform you , that we  had to block your lasalle bank account access because we have been  notified that your account may have been compromised by outside  parties .  our terms and conditions you agreed  to state that your account must always be under your control or those  you designate at all times . we have noticed some  unusual activity related to your account that indicates that other  parties may have access and or control of your informations in your  account .  these parties have in the past been involved with  money laundering , illegal drugs , terrorism and various federal title 18  violations .  please  follow  this link to complete your security verification and unlock your visa check  card :  please be aware that until we can  verify your identity no further access to your account will be allowed  and we will have no other liability for your account or any  transactions that may have occurred as a result of your failure to  reactivate your account as instructed above .  thank you for your time and  consideration in this matter .  sincerely ,  lasalle bank accounts department .  note : requests for information will be initiated by our lasalle bank  business development group , this process cannot be externally expedited  through customer support ",1
"Subject: pjm adds ny prices to edata  message sent from the pjm - customer - info mailing list at  pjm - customer - info @ majordomo . pjm . com :  pjm has launched a pilot version of edata which includes data from the  new york independent system operator . the beta - test period for the pilot is  expected to last approximately 90 days as pjm evaluates the success of using  cross - iso data in edata . if the pilot proves successful , pjm may add data  from  other isos in the future .  this pilot version of edata is a result of the collaboration among the  isos created by the memorandum of understanding signed last year . through the  iso mou process , stakeholders have asked the isos to improve seams issues ,  create like user interfaces , and make it easier to do business between the  isos .  the addition of other iso data to edata has several benefits to users  including  consolidated information , ease of use , less technical support required , and  improved customer service . real - time prices , forecasted / actual loads , tie  line  schedules , and transmission limits are all possible types of information that  may be included in the future .  edata was implemented in october 1998 . there are currently more that  1700 registered users representing over 200 companies . users include  marketers ,  utilities , control areas , state and federal regulators , educational  organizations , financial institutions and others . the tool continues to  attract  30 to 40 new registered users each week . normally , 100 - 300 users are  simultaneously logged onto the system . to become an edata user , submit new  user  information from the edata log in screen from the pjm web site at www . pjm . com .  please do not reply to this message . if you have a question for pjm customer  relations and training , please send an e - mail to custsvc @ pjm . com .  to unsubscribe from this list , send an e - mail to majordomo @ majordomo . pjm . com  containing only the following line in the body of the e - mail :  unsubscribe pjm - customer - info",0
"Subject: a new era of online medical care .  right place to look for buying cheap viagra online !  emancipate yourselves from mental slavery , none but ourselves can free our minds .  don ' t let it end like this . tell them i said something .  measure not the work until the day ' s out and the labor done .",1
